filepaths,users,genders,words,f0_prob,f0_std,f0_mean
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_008.wav,F003,F,academia,"[[224.97092666]
 [223.67518947]
 [222.38691517]
 [217.30759101]
 [213.57437667]
 [211.12126572]
 [209.90529671]
 [209.90529671]
 [209.90529671]
 [209.90529671]
 [217.30759101]
 [314.50259153]]",223.71,27.92
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_009.wav,F003,F,academia,"[[227.58496291]
 [226.27416998]
 [224.97092666]
 [218.56644108]
 [214.81160044]
 [212.34427877]
 [211.12126572]
 [212.34427877]
 [216.05599139]
 [223.67518947]
 [300.30015893]
 [307.31934242]
 [320.        ]
 [320.        ]]",245.38,42.62
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_010.wav,F003,F,academia,"[[198.12421766]
 [201.58736798]]",199.86,1.73
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_001.wav,F004,F,academia,"[[223.67518947]
 [222.38691517]
 [236.97560837]
 [236.97560837]
 [235.6107293 ]
 [232.90450925]
 [222.38691517]
 [217.30759101]
 [213.57437667]
 [211.12126572]
 [208.69633116]
 [207.49432874]
 [228.90334919]
 [246.75373207]
 [255.45548363]
 [261.42647252]
 [261.42647252]]",230.77,17.04
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_002.wav,F004,F,academia,"[[218.56644108]
 [239.7291323 ]
 [239.7291323 ]
 [234.25371135]
 [223.67518947]
 [219.83258359]
 [216.05599139]
 [213.57437667]
 [211.12126572]
 [209.90529671]
 [209.90529671]
 [241.11786904]
 [246.75373207]
 [253.98416831]
 [258.42373338]
 [264.46410181]
 [278.57618025]
 [305.54931325]]",238.07,25.8
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_003.wav,F004,F,academia,"[[231.56307799]
 [231.56307799]
 [230.2293728 ]
 [228.90334919]
 [222.38691517]
 [218.56644108]
 [212.34427877]
 [209.90529671]
 [207.49432874]
 [207.49432874]
 [211.12126572]
 [227.58496291]
 [246.75373207]
 [252.52132715]
 [259.92076683]
 [265.99612677]]",229.02,18.11
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_004.wav,F004,F,academia,"[[238.3483941 ]
 [238.3483941 ]
 [238.3483941 ]
 [234.25371135]
 [223.67518947]
 [218.56644108]
 [213.57437667]
 [211.12126572]
 [209.90529671]
 [209.90529671]
 [239.7291323 ]
 [241.11786904]
 [243.91952372]
 [249.62087232]
 [253.98416831]
 [255.45548363]
 [259.92076683]]",234.11,16.2
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_005.wav,F004,F,academia,"[[238.3483941 ]
 [238.3483941 ]
 [236.97560837]
 [234.25371135]
 [227.58496291]
 [223.67518947]
 [219.83258359]
 [216.05599139]
 [212.34427877]
 [209.90529671]
 [209.90529671]
 [242.51465064]
 [245.33253515]
 [249.62087232]
 [256.9353222 ]
 [262.94090067]
 [259.92076683]]",234.38,16.85
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_006.wav,F004,F,academia,"[[246.75373207]
 [246.75373207]
 [245.33253515]
 [238.3483941 ]
 [227.58496291]
 [223.67518947]
 [221.10606079]
 [218.56644108]
 [216.05599139]
 [213.57437667]
 [214.81160044]
 [246.75373207]
 [249.62087232]
 [253.98416831]
 [259.92076683]
 [267.53702665]
 [273.79040822]]",239.07,18.6
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_007.wav,F004,F,academia,"[[235.6107293 ]
 [235.6107293 ]
 [234.25371135]
 [231.56307799]
 [223.67518947]
 [219.83258359]
 [216.05599139]
 [213.57437667]
 [211.12126572]
 [209.90529671]
 [212.34427877]
 [253.98416831]
 [261.42647252]
 [270.64565716]
 [276.97169952]
 [278.57618025]]",236.57,23.52
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_008.wav,F004,F,academia,"[[230.2293728 ]
 [230.2293728 ]
 [230.2293728 ]
 [228.90334919]
 [224.97092666]
 [221.10606079]
 [218.56644108]
 [216.05599139]
 [212.34427877]
 [211.12126572]
 [211.12126572]
 [256.9353222 ]
 [259.92076683]
 [267.53702665]
 [272.2134915 ]
 [272.2134915 ]
 [272.2134915 ]]",237.41,22.88
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_009.wav,F004,F,academia,"[[230.2293728 ]
 [230.2293728 ]
 [226.27416998]
 [223.67518947]
 [221.10606079]
 [218.56644108]
 [216.05599139]
 [214.81160044]
 [213.57437667]
 [251.06691133]
 [253.98416831]
 [258.42373338]
 [264.46410181]
 [264.46410181]]",234.78,18.6
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F004_010.wav,F004,F,academia,"[[243.91952372]
 [243.91952372]
 [243.91952372]
 [241.11786904]
 [235.6107293 ]
 [226.27416998]
 [218.56644108]
 [209.90529671]
 [201.58736798]
 [195.84856693]
 [191.37537948]
 [189.17724576]
 [189.17724576]
 [189.17724576]
 [191.37537948]
 [198.12421766]]",213.07,21.89
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_001.wav,F005,F,academia,"[[221.10606079]
 [221.10606079]
 [177.53111553]
 [174.48123723]
 [175.49199675]
 [223.67518947]
 [227.58496291]
 [230.2293728 ]
 [224.97092666]
 [218.56644108]]",209.47,22.26
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_002.wav,F005,F,academia,"[[196.98310614]
 [218.56644108]
 [218.56644108]
 [217.30759101]
 [174.48123723]
 [174.48123723]
 [177.53111553]
 [194.72056219]
 [198.12421766]
 [200.42631018]
 [202.75515173]
 [203.92970037]
 [193.59905428]]",197.81,14.78
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_003.wav,F005,F,academia,"[[180.63430477]
 [218.56644108]
 [217.30759101]
 [216.05599139]
 [208.69633116]
 [182.73317429]
 [178.55954282]
 [178.55954282]
 [192.48400577]
 [194.72056219]
 [195.84856693]
 [195.84856693]
 [195.84856693]
 [196.98310614]
 [198.12421766]
 [198.12421766]]",196.82,12.65
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_004.wav,F005,F,academia,"[[201.58736798]
 [201.58736798]
 [230.2293728 ]
 [228.90334919]
 [227.58496291]
 [178.55954282]
 [176.50861155]
 [208.69633116]
 [212.34427877]
 [218.56644108]
 [218.56644108]]",209.38,17.78
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_005.wav,F005,F,academia,"[[222.38691517]
 [222.38691517]
 [222.38691517]
 [183.7917368 ]
 [180.63430477]
 [181.68070865]
 [206.29924935]
 [209.90529671]
 [212.34427877]
 [216.05599139]
 [208.69633116]]",206.05,15.66
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_006.wav,F005,F,academia,"[[231.56307799]
 [230.2293728 ]
 [228.90334919]
 [183.7917368 ]
 [181.68070865]
 [223.67518947]
 [231.56307799]
 [236.97560837]
 [231.56307799]]",219.99,20.18
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_007.wav,F005,F,academia,"[[216.05599139]
 [216.05599139]
 [214.81160044]
 [188.08766501]
 [182.73317429]
 [182.73317429]
 [203.92970037]
 [206.29924935]
 [207.49432874]
 [208.69633116]
 [207.49432874]
 [202.75515173]]",203.1,11.58
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_008.wav,F005,F,academia,"[[200.42631018]
 [223.67518947]
 [222.38691517]
 [221.10606079]
 [188.08766501]
 [183.7917368 ]
 [184.8564315 ]
 [211.12126572]
 [214.81160044]
 [217.30759101]
 [218.56644108]
 [212.34427877]]",208.21,14.35
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_009.wav,F005,F,academia,"[[194.72056219]
 [216.05599139]
 [214.81160044]
 [214.81160044]
 [212.34427877]
 [192.48400577]
 [187.00435977]
 [185.92729391]
 [198.12421766]
 [200.42631018]
 [201.58736798]
 [202.75515173]
 [203.92970037]
 [203.92970037]
 [206.29924935]]",202.35,9.32
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F005_010.wav,F005,F,academia,"[[192.48400577]
 [207.49432874]
 [207.49432874]
 [207.49432874]
 [208.69633116]
 [207.49432874]
 [202.75515173]
 [168.53776575]
 [166.60194441]
 [164.68835786]
 [160.        ]
 [155.44511058]]",187.43,21.23
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_001.wav,F006,F,academia,"[[194.72056219]
 [217.30759101]
 [217.30759101]
 [217.30759101]
 [216.05599139]
 [207.49432874]
 [200.42631018]
 [193.59905428]
 [184.8564315 ]
 [180.63430477]
 [179.59392773]
 [179.59392773]
 [179.59392773]
 [180.63430477]
 [180.63430477]]",195.32,15.4
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_002.wav,F006,F,academia,"[[190.2731384 ]
 [206.29924935]
 [206.29924935]
 [207.49432874]
 [207.49432874]
 [205.11105311]
 [199.27193958]
 [193.59905428]
 [185.92729391]
 [180.63430477]
 [177.53111553]
 [177.53111553]
 [177.53111553]
 [178.55954282]
 [179.59392773]
 [180.63430477]
 [185.92729391]]",190.57,11.83
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_003.wav,F006,F,academia,"[[170.49608026]
 [213.57437667]
 [214.81160044]
 [214.81160044]
 [213.57437667]
 [207.49432874]
 [200.42631018]
 [194.72056219]
 [187.00435977]
 [182.73317429]
 [180.63430477]
 [181.68070865]
 [181.68070865]
 [182.73317429]
 [184.8564315 ]
 [183.7917368 ]
 [184.8564315 ]
 [188.08766501]]",192.66,13.88
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_004.wav,F006,F,academia,"[[209.90529671]
 [209.90529671]
 [211.12126572]
 [209.90529671]
 [203.92970037]
 [198.12421766]
 [192.48400577]
 [188.08766501]
 [184.8564315 ]
 [183.7917368 ]
 [183.7917368 ]
 [184.8564315 ]
 [185.92729391]
 [184.8564315 ]
 [185.92729391]
 [188.08766501]]",194.1,10.69
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_005.wav,F006,F,academia,"[[171.48375401]
 [196.98310614]
 [202.75515173]
 [202.75515173]
 [202.75515173]
 [200.42631018]
 [194.72056219]
 [190.2731384 ]
 [184.8564315 ]
 [182.73317429]
 [180.63430477]
 [181.68070865]
 [181.68070865]
 [181.68070865]
 [181.68070865]
 [182.73317429]
 [184.8564315 ]]",188.51,9.38
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_006.wav,F006,F,academia,"[[166.60194441]
 [193.59905428]
 [193.59905428]
 [207.49432874]
 [207.49432874]
 [207.49432874]
 [203.92970037]
 [198.12421766]
 [192.48400577]
 [185.92729391]
 [183.7917368 ]
 [182.73317429]
 [182.73317429]
 [182.73317429]
 [181.68070865]
 [181.68070865]
 [183.7917368 ]]",190.35,11.24
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_007.wav,F006,F,academia,"[[188.08766501]
 [206.29924935]
 [206.29924935]
 [206.29924935]
 [205.11105311]
 [200.42631018]
 [194.72056219]
 [189.17724576]
 [184.8564315 ]
 [181.68070865]
 [180.63430477]
 [179.59392773]
 [179.59392773]
 [178.55954282]
 [178.55954282]
 [178.55954282]
 [180.63430477]]",189.36,10.94
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_008.wav,F006,F,academia,"[[191.37537948]
 [200.42631018]
 [200.42631018]
 [200.42631018]
 [198.12421766]
 [192.48400577]
 [189.17724576]
 [184.8564315 ]
 [180.63430477]
 [179.59392773]
 [179.59392773]
 [180.63430477]
 [181.68070865]
 [180.63430477]
 [181.68070865]
 [182.73317429]]",187.78,7.98
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_009.wav,F006,F,academia,"[[190.2731384 ]
 [202.75515173]
 [202.75515173]
 [202.75515173]
 [200.42631018]
 [193.59905428]
 [189.17724576]
 [184.8564315 ]
 [182.73317429]
 [181.68070865]
 [181.68070865]
 [181.68070865]
 [181.68070865]
 [180.63430477]
 [181.68070865]
 [191.37537948]]",189.36,8.36
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F006_010.wav,F006,F,academia,"[[177.53111553]
 [177.53111553]
 [177.53111553]
 [177.53111553]
 [177.53111553]
 [174.48123723]
 [171.48375401]
 [169.5140951 ]
 [168.53776575]
 [168.53776575]
 [169.5140951 ]
 [170.49608026]
 [173.47629925]]",173.36,3.68
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F007_001.wav,F007,F,academia,"[[205.11105311]
 [203.92970037]
 [201.58736798]
 [194.72056219]
 [187.00435977]
 [183.7917368 ]
 [181.68070865]
 [180.63430477]
 [179.59392773]
 [182.73317429]
 [187.00435977]
 [200.42631018]
 [203.92970037]
 [211.12126572]
 [219.83258359]]",194.87,12.21
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F007_002.wav,F007,F,academia,"[[198.12421766]
 [196.98310614]
 [195.84856693]
 [192.48400577]
 [187.00435977]
 [183.7917368 ]
 [180.63430477]
 [177.53111553]
 [175.49199675]
 [176.50861155]
 [177.53111553]
 [179.59392773]
 [181.68070865]
 [183.7917368 ]
 [185.92729391]
 [189.17724576]
 [194.72056219]
 [205.11105311]]",186.77,8.47
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F007_003.wav,F007,F,academia,"[[195.84856693]
 [193.59905428]
 [191.37537948]
 [190.2731384 ]
 [185.92729391]
 [180.63430477]
 [177.53111553]
 [176.50861155]
 [176.50861155]
 [177.53111553]
 [178.55954282]
 [179.59392773]
 [181.68070865]
 [184.8564315 ]
 [188.08766501]
 [192.48400577]
 [198.12421766]
 [206.29924935]]",186.41,8.41
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F007_004.wav,F007,F,academia,"[[195.84856693]
 [194.72056219]
 [193.59905428]
 [190.2731384 ]
 [187.00435977]
 [184.8564315 ]
 [183.7917368 ]
 [183.7917368 ]
 [183.7917368 ]
 [183.7917368 ]
 [183.7917368 ]
 [184.8564315 ]
 [187.00435977]
 [191.37537948]
 [194.72056219]
 [199.27193958]
 [205.11105311]
 [203.92970037]]",190.64,6.91
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F007_005.wav,F007,F,academia,"[[193.59905428]
 [192.48400577]
 [191.37537948]
 [188.08766501]
 [185.92729391]
 [184.8564315 ]
 [183.7917368 ]
 [183.7917368 ]
 [183.7917368 ]
 [183.7917368 ]
 [182.73317429]
 [182.73317429]
 [184.8564315 ]
 [212.34427877]
 [216.05599139]
 [216.05599139]]",191.64,11.64
