filepaths,users,genders,words,f0_prob,f0_mean,f0_std
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_001.wav,F002,F,academia,"[[247.31322319]
 [248.53420899]
 [249.22775548]
 [248.68711741]
 [247.35149412]
 [294.90211864]
 [294.12917026]
 [290.81370058]
 [278.39238788]
 [280.79519432]
 [284.36952273]
 [287.26130002]
 [289.45464994]
 [291.26499039]
 [291.57484864]
 [289.91938881]
 [287.23950831]
 [285.15498789]
 [284.8441484 ]
 [285.00614794]
 [283.56453436]
 [281.10944375]
 [278.32908794]
 [274.80206156]
 [270.04502831]
 [263.83872599]
 [258.21785451]
 [254.10714107]
 [251.1423049 ]
 [247.76320703]
 [236.39693036]
 [195.20071961]
 [190.51406417]
 [188.26405934]
 [187.3954311 ]
 [187.18341306]
 [186.04755925]
 [184.70902635]
 [183.88821307]
 [184.17052872]
 [185.88126351]
 [187.42822554]
 [188.36084199]
 [188.27183596]
 [188.34505905]
 [188.62357051]
 [189.23276861]
 [190.71517956]]",242.7,43.09
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_002.wav,F002,F,academia,"[[244.14773295]
 [244.78045729]
 [244.78637287]
 [244.46625452]
 [288.04024331]
 [286.18984921]
 [282.91207219]
 [277.96608321]
 [273.55670182]
 [263.31843247]
 [263.91903499]
 [263.8861928 ]
 [264.21616603]
 [264.88499641]
 [264.92472235]
 [264.20175094]
 [261.12022264]
 [258.49854816]
 [258.1444089 ]
 [258.85971855]
 [258.80709546]
 [258.34057645]
 [258.07440765]
 [256.48924368]
 [255.49688042]
 [254.90130598]
 [255.35894488]
 [255.67098651]
 [254.75505125]
 [253.46268139]
 [251.91194584]
 [249.84345955]
 [247.82712958]
 [245.41905185]
 [242.33358069]
 [238.44166598]
 [235.58874932]
 [232.06863224]
 [227.2119442 ]
 [223.45397304]
 [221.19185847]
 [219.74118013]
 [218.24029031]
 [214.92761507]
 [210.70721382]
 [197.62238379]
 [193.25215789]
 [190.59032291]
 [190.37978907]
 [191.91244305]
 [195.13634756]
 [199.20139366]
 [204.92139425]
 [208.50190312]
 [211.42185145]
 [214.2037464 ]
 [217.81951048]
 [225.43127945]]",240.58,26.26
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_003.wav,F002,F,academia,"[[252.13084857]
 [252.33477223]
 [252.90491408]
 [253.30235857]
 [253.41372573]
 [276.78521749]
 [276.51713716]
 [273.72987888]
 [270.91564758]
 [273.42597073]
 [275.50298326]
 [277.72618342]
 [279.79309573]
 [280.68154995]
 [280.06954463]
 [277.49483296]
 [272.61187283]
 [267.07138906]
 [263.77922459]
 [261.57442426]
 [258.88812148]
 [256.03524568]
 [237.77993567]
 [235.03229268]
 [203.05039868]
 [198.4107083 ]
 [185.29789538]
 [183.33236636]
 [182.00253879]
 [181.27264279]
 [181.42964002]
 [182.96319872]
 [185.33477414]
 [188.28371988]
 [190.6815775 ]
 [192.65693455]
 [194.69459959]
 [196.1436809 ]
 [197.06814767]
 [197.44722442]
 [197.49651716]
 [198.20091559]]",233.22,38.27
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_004.wav,F002,F,academia,"[[239.1950477 ]
 [238.13771276]
 [236.98310864]
 [266.78730294]
 [266.65221866]
 [265.79505732]
 [262.90777929]
 [237.33403171]
 [262.97923953]
 [266.19233222]
 [268.24228137]
 [269.80495276]
 [269.30233396]
 [266.27312567]
 [262.53368738]
 [259.30786061]
 [257.5711514 ]
 [257.47018636]
 [257.72481152]
 [256.81178608]
 [256.5855047 ]
 [256.56133851]
 [255.19896069]
 [253.7076984 ]
 [252.70838364]
 [251.4586567 ]
 [249.46439926]
 [236.3653638 ]
 [233.45749369]
 [230.49848508]
 [227.64952565]
 [224.07774812]
 [220.62749652]
 [198.859301  ]
 [195.78966952]
 [194.25099172]
 [191.66425121]
 [193.18740128]
 [195.77772972]
 [199.31756616]
 [208.63952702]]",241.31,25.3
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_005.wav,F002,F,academia,"[[246.1791998 ]
 [246.78375981]
 [247.54740138]
 [247.26592482]
 [246.0278829 ]
 [274.59261224]
 [272.27120974]
 [269.67954773]
 [265.56721107]
 [261.80087014]
 [270.67240981]
 [271.46467012]
 [271.53147874]
 [270.82419282]
 [269.34938308]
 [266.89192294]
 [264.32215973]
 [261.57023467]
 [259.59889375]
 [258.79387949]
 [257.64197755]
 [255.35839181]
 [253.12782129]
 [250.25592673]
 [247.76104872]
 [245.88329191]
 [243.24188295]
 [241.05977793]
 [237.74392389]
 [234.87227722]
 [231.44484274]
 [227.00673155]
 [212.75871945]
 [208.39000166]
 [204.0239088 ]
 [199.41140238]
 [195.85638279]
 [190.8268995 ]
 [187.07387101]
 [185.81514471]
 [185.41898474]
 [185.48657575]
 [184.6706783 ]
 [184.64530747]
 [186.03935233]
 [189.31902007]
 [194.08484781]
 [197.3090347 ]
 [200.09830344]]",233.86,31.61
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_006.wav,F002,F,academia,"[[255.11491318]
 [254.37751431]
 [254.11657512]
 [254.28939336]
 [255.24839699]
 [256.49743683]
 [257.01627252]
 [282.69617531]
 [284.17315169]
 [283.16464651]
 [280.42873322]
 [276.91438384]
 [276.26679216]
 [277.74040188]
 [279.78097016]
 [280.61371453]
 [281.14339321]
 [281.03836849]
 [280.27060154]
 [278.69467841]
 [276.09816986]
 [273.89260829]
 [272.58525769]
 [270.96005184]
 [269.42095961]
 [267.50941123]
 [265.59632953]
 [263.25825913]
 [261.67071538]
 [259.72696967]
 [257.91632623]
 [255.8359917 ]
 [252.98722459]
 [248.71187437]
 [245.01391855]
 [235.20264725]
 [202.79495264]
 [198.9309493 ]
 [196.55068112]
 [194.94276364]
 [193.80347009]
 [193.11361949]
 [193.10253504]
 [193.54354494]
 [195.23025721]
 [197.72506395]
 [200.97285567]
 [204.74950049]
 [207.88725504]
 [228.8243987 ]]",248.16,32.19
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_007.wav,F002,F,academia,"[[251.4185286 ]
 [251.53988105]
 [251.94340133]
 [252.63790965]
 [253.14307895]
 [281.59753458]
 [279.73090082]
 [277.04036298]
 [273.82135407]
 [264.61438387]
 [266.80093174]
 [268.2878253 ]
 [268.57798853]
 [266.70268921]
 [263.82563259]
 [262.29274775]
 [262.57195374]
 [262.91234998]
 [262.95493286]
 [262.03767012]
 [261.01331821]
 [259.59689069]
 [258.26142222]
 [256.12839351]
 [254.51157127]
 [253.09899165]
 [251.99148236]
 [251.29043063]
 [249.85482075]
 [248.33074115]
 [246.63553208]
 [244.60138641]
 [241.90910768]
 [239.10399585]
 [236.30911047]
 [233.57114885]
 [229.3145524 ]
 [199.24455792]
 [195.54287391]
 [193.16324728]
 [192.42321462]
 [192.56340204]
 [194.29202185]
 [196.7356093 ]
 [199.62283645]
 [202.76363308]
 [204.49431896]
 [206.55708153]
 [221.54710102]
 [224.95845493]
 [227.49577028]
 [228.78789784]]",241.93,26.37
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_008.wav,F002,F,academia,"[[251.16404744]
 [249.79634901]
 [247.66786366]
 [245.55992203]
 [243.13979355]
 [271.61135118]
 [270.72564283]
 [268.17856164]
 [264.5194628 ]
 [260.53456576]
 [255.88729077]
 [220.49900666]
 [263.07384264]
 [265.52456458]
 [266.72394324]
 [268.11116818]
 [268.42306966]
 [267.73176574]
 [266.10320898]
 [264.50863514]
 [262.30615867]
 [261.25335546]
 [260.15366927]
 [258.86032737]
 [257.23583644]
 [255.3679691 ]
 [253.16373695]
 [251.04182895]
 [249.56175683]
 [248.58200001]
 [247.72205936]
 [246.85576411]
 [244.60501506]
 [236.2276816 ]
 [232.19921115]
 [227.51558694]
 [224.43842688]
 [221.44254181]
 [218.20869338]
 [202.56869401]
 [198.46042005]
 [195.26781428]
 [192.11197486]
 [189.65526883]
 [188.02688666]
 [186.69248893]
 [185.55180472]
 [184.27424092]
 [184.27495118]
 [186.29661218]]",238.59,28.93
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_009.wav,F002,F,academia,"[[258.98862661]
 [257.43911382]
 [256.54714777]
 [255.80294087]
 [272.36592782]
 [274.9497792 ]
 [273.47165875]
 [271.59554249]
 [271.1984648 ]
 [272.99351815]
 [274.55270434]
 [275.28736135]
 [275.37583615]
 [274.78662607]
 [272.51890383]
 [269.00038544]
 [265.52476387]
 [264.11736281]
 [263.7377508 ]
 [263.08173439]
 [262.09580674]
 [260.52019519]
 [258.59125847]
 [256.89758279]
 [256.41815845]
 [256.57979945]
 [255.6331318 ]
 [254.11618898]
 [252.33816063]
 [249.48298066]
 [246.40519566]
 [242.96730453]
 [239.30053598]
 [235.81191596]
 [231.62615051]
 [204.8878581 ]
 [201.50960868]
 [199.28662417]
 [198.08309717]
 [197.68867165]
 [197.99964727]
 [198.68008265]
 [198.65996506]
 [197.50381567]
 [196.9155255 ]
 [198.03337252]
 [225.12482682]]",245.46,28.07
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_010.wav,F002,F,academia,"[[251.96028952]
 [251.27110707]
 [251.26661429]
 [251.07865006]
 [250.77964315]
 [249.20570908]
 [279.16485037]
 [279.69293271]
 [278.29975558]
 [275.54392744]
 [226.07897625]
 [274.96170705]
 [276.5581471 ]
 [277.39424054]
 [276.52308777]
 [274.69414525]
 [271.84628341]
 [268.4535456 ]
 [265.01539432]
 [263.75076274]
 [263.74268178]
 [263.5234429 ]
 [261.83473673]
 [260.06727416]
 [258.07099945]
 [255.49451452]
 [252.76991735]
 [251.10486274]
 [249.72355136]
 [247.51350321]
 [201.04275675]
 [197.25446105]
 [194.37884706]
 [193.1243809 ]
 [192.36344134]
 [191.91744985]
 [192.11002505]
 [193.40984633]
 [195.97590116]
 [198.37938323]
 [201.12155315]
 [202.41835011]
 [203.0482787 ]
 [204.38462687]
 [207.10850382]
 [229.23000531]]",240.32,31.74
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_001.wav,F003,F,academia,"[[251.83250401]
 [248.74142011]
 [245.27515042]
 [241.06044176]
 [237.4270049 ]
 [250.01822608]
 [250.64673172]
 [250.82978634]
 [250.60504779]
 [249.03999436]
 [245.8383525 ]
 [241.84885541]
 [239.11283221]
 [237.82501366]
 [236.80050726]
 [235.11444066]
 [233.0929444 ]
 [230.91248337]
 [228.65905421]
 [226.93772139]
 [226.28321246]
 [225.73035669]
 [225.43600571]
 [224.85075005]
 [224.48115129]
 [223.96219736]
 [223.7654678 ]
 [224.47350345]
 [225.77131268]
 [227.30206986]
 [229.12391507]
 [230.91329522]
 [233.39712291]
 [236.85469563]
 [240.69936854]
 [244.68676191]
 [247.324597  ]
 [250.69671822]
 [253.07417751]
 [255.43231297]
 [266.11186159]
 [291.72651554]]",239.61,13.53
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_002.wav,F003,F,academia,"[[226.16375095]
 [230.26793439]
 [231.36280633]
 [231.74235903]
 [232.62794653]
 [232.87858877]
 [232.32411208]
 [230.55248431]
 [227.82531958]
 [226.59492501]
 [225.6833243 ]
 [224.6752021 ]
 [223.49410341]
 [222.14622134]
 [221.12311444]
 [220.12431481]
 [218.99806138]
 [218.24133459]
 [217.9248606 ]
 [217.62540618]
 [218.2385121 ]
 [219.88113488]
 [221.50920943]
 [223.86981785]
 [226.72514476]
 [228.87562242]
 [231.76871895]
 [234.34222942]
 [279.42944899]
 [280.46604801]
 [288.52453769]
 [291.95338779]
 [295.38018956]]",234.95,22.73
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_003.wav,F003,F,academia,"[[229.7029983 ]
 [228.6961651 ]
 [226.58182448]
 [237.42100705]
 [233.81296832]
 [229.62385606]
 [227.02080831]
 [223.86155931]
 [213.4084131 ]
 [241.88729734]
 [242.16572761]
 [241.6485314 ]
 [239.92286553]
 [238.33267108]
 [236.99139727]
 [234.79965593]
 [232.25528118]
 [230.07776037]
 [229.12553408]
 [228.65896159]
 [227.58833896]
 [226.16662399]
 [223.92495257]
 [221.49427247]
 [215.33378442]
 [212.78767151]
 [211.8997814 ]
 [211.28297881]
 [210.7347643 ]
 [210.30527409]
 [209.09409194]
 [208.61405309]
 [208.96966281]
 [219.2305073 ]
 [315.16844376]]",227.96,18.3
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_004.wav,F003,F,academia,"[[226.26226095]
 [224.83158277]
 [223.45103438]
 [234.36522948]
 [229.75468861]
 [226.15472929]
 [212.56551701]
 [230.88506678]
 [231.38004545]
 [230.89052403]
 [228.54200862]
 [226.42308819]
 [224.4151296 ]
 [222.36791529]
 [219.49536754]
 [217.2560902 ]
 [216.5193164 ]
 [215.70181616]
 [212.35416284]
 [210.88159986]
 [209.92771021]
 [209.21444718]
 [208.66291556]
 [208.45571549]
 [208.09116984]
 [208.13309768]
 [208.1874364 ]
 [208.00736986]
 [207.95519204]
 [207.95944349]
 [208.19678496]
 [208.71339368]
 [209.12450165]
 [210.02239982]
 [210.78687525]
 [222.8068702 ]
 [294.2458401 ]
 [294.26457714]
 [294.04296062]]",223.11,22.19
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_005.wav,F003,F,academia,"[[233.10631896]
 [230.98927716]
 [229.19911123]
 [226.40116058]
 [239.934739  ]
 [237.65308353]
 [237.70721128]
 [236.84116945]
 [236.84954107]
 [236.01389062]
 [234.80683566]
 [233.36620882]
 [231.26602469]
 [228.28844444]
 [225.54203415]
 [224.15236237]
 [222.80674654]
 [221.66135799]
 [219.99475688]
 [215.13488638]
 [213.10659082]
 [211.14407512]
 [209.91098073]
 [209.02315578]
 [208.87154287]
 [208.83988191]
 [208.62347715]
 [208.53972198]
 [208.64491649]
 [208.65302427]
 [209.13566873]
 [210.17652902]
 [210.76509842]
 [212.79702752]
 [221.01756619]
 [233.91476997]
 [246.41151154]
 [250.61751654]
 [297.92286406]
 [297.18191872]]",227.18,20.13
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_006.wav,F003,F,academia,"[[234.35654928]
 [233.19210565]
 [231.52528762]
 [229.84201014]
 [226.96797598]
 [224.1240251 ]
 [231.74779519]
 [232.84675813]
 [232.9691004 ]
 [232.4918364 ]
 [231.29711016]
 [228.13491578]
 [221.00812185]
 [220.36342631]
 [220.10385966]
 [215.11616472]
 [213.21298621]
 [211.55487492]
 [210.25342783]
 [209.20153281]
 [209.04019184]
 [208.62456287]
 [208.58450181]
 [208.35930798]
 [208.42429197]
 [208.38116675]
 [208.47173722]
 [208.78575457]
 [208.94337674]
 [210.20371044]
 [211.38580704]
 [220.08544162]
 [233.76540731]]",219.5,10.1
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_007.wav,F003,F,academia,"[[225.8156591 ]
 [222.05280368]
 [218.76655448]
 [228.64146291]
 [228.61374361]
 [227.52305752]
 [226.15556094]
 [224.53007305]
 [222.93399629]
 [221.46131586]
 [219.14083475]
 [214.9693272 ]
 [213.46272152]
 [212.64161163]
 [210.9233064 ]
 [209.05057261]
 [208.02878711]
 [207.76693416]
 [207.78774409]
 [207.86051243]
 [207.89441201]
 [207.98807092]
 [208.0327832 ]
 [208.28757822]
 [208.4471951 ]
 [209.1045846 ]
 [209.98923528]
 [211.20283998]
 [212.79996255]
 [219.03001916]
 [220.97368163]
 [287.58203877]
 [292.06395476]
 [296.39632861]
 [313.08633324]
 [316.21195152]]",227.42,30.65
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_008.wav,F003,F,academia,"[[230.50758626]
 [229.29966099]
 [226.79515721]
 [236.65926186]
 [232.91253296]
 [230.12185724]
 [227.9303517 ]
 [227.45942645]
 [226.36961581]
 [224.92528365]
 [223.07131702]
 [221.76802071]
 [220.57607155]
 [219.25348811]
 [217.60718555]
 [215.58385679]
 [213.3783811 ]
 [212.19646161]
 [210.7111096 ]
 [209.83635525]
 [209.28104627]
 [208.99285554]
 [208.90997379]
 [209.32504513]
 [209.41630444]
 [209.2802148 ]
 [208.85822594]
 [208.35447977]
 [208.37485694]
 [208.70506195]
 [208.83311332]
 [210.35349962]
 [233.7143953 ]]",218.16,9.25
